"strain","volume","E_resp","B0_resp","E_D_resp","Tpk_resp","Ppk_resp","r_sq_resp","n_temps","temps_before_peak_resp","temps_after_peak_resp","Phylum","Class","Order","Family","Genus","Species","iso_temp","incu_temp","E_growth","B0_growth","E_D_growth","Tpk_growth","Ppk_growth","temps_before_peak_growth","temps_after_peak_growth","r_sq_growth","Aero_anaero"
"40_40_01",3.54833719920452,0.574162782310544,0.112260861677803,1.9017626399757,310.943093310564,1.47790500680493,0.840232086134207,9,6,3,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium","40",40,0.717735434879598,0.0455934160407382,1.41063013578153,305.028168726467,0.534810478614037,5,4,0.629221194310591,"Aerobic"
"40_40_02",0.143773795437162,0.958747571950303,0.008467835733501,2.73563299201361,314.332270253016,1.12502904283245,0.763308596029835,5,3,2,NA,NA,NA,NA,NA,NA,"40",40,0.776317559998574,0.00756221806630145,3.54942722960477,312.075747814112,0.354716473807969,2,3,0.773109101921928,"Aerobic"
"40_40_03",2.79455864595061,0.647776126461969,0.0670731940224631,3.39667822492652,313.043356399556,1.81034141444974,0.899594507088291,8,6,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium","40",40,0.565289976118704,0.0351995451575829,2.53667379882998,307.151403161844,0.387114494216339,5,3,0.764516351368523,"Aerobic"
"40_40_04",0.273635078593588,0.493912143681413,0.0938835105799507,6.84996277614785,315.234411352362,1.35026658184449,0.884596095838438,9,7,2,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus","sp.","40",40,0.4311306934911,0.0662159060997222,9.98582621909178,314.890446745937,0.683206307515698,7,2,0.77786097024408,"Aerobic"
"40_40_05",0.175525655042912,0.613056097059955,0.0383007288849723,3.59452746285156,316.601110408304,1.09643753386494,0.87090763215388,5,3,2,NA,NA,NA,NA,NA,NA,"40",40,0.893248405301694,0.00212689430140215,2.52026883044122,315.265715580924,0.209555405466752,3,2,0.729565039532173,"Aerobic"
"40_40_06",0.150707472025786,0.835525350998805,0.0118930667119145,5.68841380148572,317.075411060771,1.33726346502397,0.933355185803041,5,3,2,NA,NA,NA,NA,NA,NA,"40",40,0.699464681914341,0.00787487924179694,4.27430765668509,314.198151125445,0.314322796193799,3,2,0.744610764976062,"Aerobic"
"40_RT_01",0.766608387867876,0.602170306180101,0.0857214018673242,9.04445905575289,316.184652441831,2.24431219323404,0.909602084915277,10,9,1,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","sp.","RT",40,0.38521285481668,0.0996717526206246,3.64077235135965,309.526174640948,0.600895177551066,8,2,0.789912316167687,"Aerobic"
"40_RT_03",0.237323398166603,0.705420858525134,0.102545711351314,1.48226039695142,309.674874002927,1.82573794200321,0.865825219440462,8,8,0,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus","arenosi","RT",40,0.782205844304771,0.0376023912861011,2.10999082359016,300.179415720763,0.455945874579587,6,2,0.7912489565955,"Aerobic"
"40_RT_04",0.252847031644484,0.711575004578021,0.0901537904095974,2.65616148057583,304.834438857038,1.4859223812951,0.882998082110857,8,7,1,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus","arenosi","RT",40,0.963926004264576,0.0232332083009591,1.86771804003318,299.87980986384,0.423336209003403,6,2,0.892058857650828,"Aerobic"
"40_RT_05",3.77710956924502,0.974041948368454,0.0282336457914936,1.41723037508892,310.981271070114,1.33756822417176,0.733911140048719,8,6,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium","RT",40,0.469876976982141,0.0837659710368095,1.50659010069844,302.993170099891,0.411738465845218,4,4,0.616575327745341,"Aerobic"
"50_50_01",0.16654778063171,0.58860042792854,0.00971441566531129,29.8374061501666,332.258516846181,0.6613506577197,0.90739588176008,6,5,1,NA,NA,NA,NA,NA,NA,"50",50,0.522105331603067,0.00864606570873941,2.07967156207911,326.042049672941,0.231279915359444,4,2,0.585461722047061,"Aerobic"
"50_50_03",0.162562534572226,0.705028105406475,0.00324022191250491,4.61934728552804,331.544010782138,0.512353522511042,0.847859508749547,6,5,1,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus","thermoruber","50",50,1.22063692611541,3.52399362006216e-05,2.88628369046737,330.5966471451,0.156108178456423,5,1,0.824980534629756,"Aerobic"
"50_50_04",0.160270342407316,0.856008506635352,0.00177342952027665,5.19703485541412,330.277934722655,0.74237045411332,0.896952147584724,6,5,1,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus","thermoruber","50",50,1.9075231519983,7.58320279532504e-07,1.90759401087184,382.513497432298,0.272120078170805,6,0,0.618207568664851,"Aerobic"
"50_50_05",0.122503384365913,0.507546068404798,0.0184772977417621,2.98738021544842,322.577540105046,0.416452505670911,0.60751402841855,4,2,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","sp.","50",50,1.79193717744451,1.38495282956568e-06,4.04496835742632,321.625491682213,0.0699953747129506,2,2,0.669059387365206,"Aerobic"
"50_50_06",0.320097683744793,0.827787192956173,0.00438016181507923,2.62997795401241,320.964232132892,0.375201915754457,0.57697917284091,4,2,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus","caldiproteolyticus","50",50,2.64927026046315,6.77831045529745e-08,7.3802384610028,322.693661758904,0.223890349344041,2,2,0.814199073685596,"Aerobic"
"50_RT_01",0.886060179921454,0.625590297548762,0.0570505508929749,0.745406725293267,336.87915485196,1.13809726752971,0.820121381964644,10,10,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","sp.","RT",50,0.428012215142653,0.0736073157353795,2.67580859236471,308.858739487764,0.504428738548557,8,2,0.7936146789132,"Aerobic"
"50_RT_03",0.160531970210652,4.89704867666076,3.07652419226214e-07,5.3244575777342,296.101487906704,0.236487421734228,0.888577140871767,4,2,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","sp.","RT",50,4.04353916987346,1.94003127610674e-06,4.98821199050697,296.304973536788,0.228012229000786,2,2,0.665695454673038,"Aerobic"
